sample_id,class_id,truth_present,truth_volume,predicted_volume,volume_error,absolute_volume_error_fraction,iou,precision,recall,variant
8,12,False,0,0,0,nan,nan,nan,nan,prior
8,13,True,15,0,-15,1.0,0.0,nan,0.0,prior
8,0,False,0,486,486,nan,0.0,0.0,nan,inverted
8,1,True,45273,23548,-21725,0.4798665871490734,0.3868770529794652,0.8152709359605911,0.4240496543193515,inverted
8,2,True,24520,19715,-4805,0.19596247960848287,0.6561213028828154,0.8889170682221659,0.7147226753670473,inverted
8,3,True,14533,10170,-4363,0.30021330764467075,0.19062078272604588,0.3888888888888889,0.2721392692492947,inverted
8,4,True,73801,78057,4256,0.05766859527648677,0.5374133130852948,0.6800543192795009,0.7192720965840571,inverted
8,5,True,18902,18516,-386,0.020421119458258384,0.22782608695652173,0.37497299632750053,0.3673156279758756,inverted
8,6,True,11543,1875,-9668,0.8375638915359959,0.010467655696965132,0.07413333333333333,0.012041930174131509,inverted
8,7,False,0,1153,1153,nan,0.0,0.0,nan,inverted
8,8,False,0,6061,6061,nan,0.0,0.0,nan,inverted
8,9,True,8968,1863,-7105,0.7922613737734165,0.03794920939147101,0.21256038647342995,0.04415700267618198,inverted
8,10,False,0,2044,2044,nan,0.0,0.0,nan,inverted
8,11,False,0,15801,15801,nan,0.0,0.0,nan,inverted
8,12,False,0,18170,18170,nan,0.0,0.0,nan,inverted
8,13,True,15,96,81,5.4,0.0,0.0,0.0,inverted
9,0,False,0,0,0,nan,nan,nan,nan,prior
9,1,True,45273,32643,-12630,0.2789742230468491,0.4545250896057348,0.7458873265324878,0.5378039891325956,prior
9,2,True,24520,22036,-2484,0.10130505709624796,0.7352864437735287,0.8952169177709203,0.8045269168026101,prior
9,3,True,14533,10412,-4121,0.28356154957682517,0.2565484585935926,0.4891471379177872,0.3504438175187504,prior
9,4,True,73801,92452,18651,0.2527201528434574,0.5779368077372082,0.6586336693635616,0.8250836709529681,prior
9,5,True,18902,36913,18011,0.9528621309914295,0.23651387935045082,0.28922059978869236,0.5648079568299651,prior
9,6,True,11543,66,-11477,0.9942822489820671,0.003717793532768459,0.6515151515151515,0.0037252014207744956,prior
9,7,False,0,1,1,nan,0.0,0.0,nan,prior
