scope,hard_loss_rank_quintile,interpretation,count,hard_delta_min,hard_delta_median,hard_delta_max,score_min,score_p05,score_median,score_p95,score_max
arm:analytic_five_body/zero,2,"1=lowest/best hard delta, 5=highest/worst hard delta",74,0.0005244752392172813,0.0006830380298197269,0.0008546048775315285,4.704443927039392e-05,4.757860006066039e-05,4.999789234716445e-05,5.065709883638191e-05,6.285327253863215e-05
arm:analytic_five_body/zero,3,"1=lowest/best hard delta, 5=highest/worst hard delta",74,0.0008589215576648712,0.0010414752177894115,0.0012040790170431137,4.704443927039392e-05,4.7391643784067126e-05,4.999789234716445e-05,4.999789234716445e-05,5.968982441117987e-05
arm:analytic_five_body/zero,4,"1=lowest/best hard delta, 5=highest/worst hard delta",74,0.0012105433270335197,0.001421900000423193,0.0017620325088500977,4.757860006066039e-05,4.757860006066039e-05,4.94636387884384e-05,4.999789234716445e-05,5.3501600632444024e-05
arm:analytic_five_body/zero,5,"1=lowest/best hard delta, 5=highest/worst hard delta",74,0.0017675040289759636,0.0021435697562992573,0.003297906368970871,4.704443927039392e-05,4.7578607336618006e-05,4.9997826863545924e-05,4.999789234716445e-05,6.351447518682107e-05
arm:native_seed20260807/correct,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00020827725529670715,0.0007381215691566467,0.0009593768045306206,2.691253394004889e-05,2.820481358867255e-05,3.5067110729869455e-05,6.434188362618442e-05,8.837642235448584e-05
arm:native_seed20260807/correct,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0009628450497984886,0.0011230753734707832,0.0012742122635245323,2.6764426365843974e-05,2.7305635830998655e-05,3.2857380574569106e-05,5.5098591292335183e-05,8.871073077898473e-05
arm:native_seed20260807/correct,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0012769615277647972,0.001419497188180685,0.0015813903883099556,2.6764426365843974e-05,2.710086409933865e-05,3.2210957215284e-05,5.474844765558373e-05,6.848658085800707e-05
arm:native_seed20260807/correct,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0015825619921088219,0.00175491813570261,0.0020287828519940376,2.6764426365843974e-05,2.7100872102892026e-05,3.215216565877199e-05,5.413078451965702e-05,7.005900260992348e-05
arm:native_seed20260807/correct,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002033536322414875,0.002377013675868511,0.0032267840579152107,2.691253394004889e-05,2.710086409933865e-05,3.156807542836759e-05,4.732598245027475e-05,5.454651909531094e-05
arm:native_seed20260807/shuffled_xy,1,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.00019166618585586548,0.0008216737769544125,0.0010976418852806091,5.894169134990079e-06,5.979296452096605e-06,7.153301794460276e-06,4.323829925851896e-05,4.532110324362293e-05
arm:native_seed20260807/shuffled_xy,2,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.001100306399166584,0.0013565663248300552,0.0014959173277020454,5.912130291108042e-06,5.946065175521653e-06,6.608514013350941e-06,3.570297667465638e-05,4.430636181496084e-05
arm:native_seed20260807/shuffled_xy,3,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.001498461700975895,0.0016700038686394691,0.0018641306087374687,5.894169134990079e-06,5.912130291108042e-06,6.500620656879619e-06,3.164590907545061e-05,4.214845466776751e-05
arm:native_seed20260807/shuffled_xy,4,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.0018651774153113365,0.002079904079437256,0.0023572491481900215,5.894169134990079e-06,5.9284016060701106e-06,6.351914862534613e-06,2.928134963440242e-05,4.0882623579818755e-05
arm:native_seed20260807/shuffled_xy,5,"1=lowest/best hard delta, 5=highest/worst hard delta",112,0.002368011511862278,0.0027074022218585014,0.003287072293460369,5.894169134990079e-06,5.979296452096605e-06,6.641002983087674e-06,7.602009281981736e-06,3.475624544080347e-05
